2021-07-14 16:39:12.7823 | TRACE | WebAPIClient.Program | Average speed: 118424,08 Kb/sec; 115,65Mb/sec
2021-07-14 16:39:12.8752 | TRACE | WebAPIClient.Program | File received for the 68 time
2021-07-14 16:39:12.8752 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:12.8752 | TRACE | WebAPIClient.Program | Average speed: 113292,26 Kb/sec; 110,64Mb/sec
2021-07-14 16:39:12.9721 | TRACE | WebAPIClient.Program | File received for the 69 time
2021-07-14 16:39:12.9721 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:12.9721 | TRACE | WebAPIClient.Program | Average speed: 108773,01 Kb/sec; 106,22Mb/sec
2021-07-14 16:39:13.0587 | TRACE | WebAPIClient.Program | File received for the 70 time
2021-07-14 16:39:13.0587 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.0587 | TRACE | WebAPIClient.Program | Average speed: 123271,61 Kb/sec; 120,38Mb/sec
2021-07-14 16:39:13.1480 | TRACE | WebAPIClient.Program | File received for the 71 time
2021-07-14 16:39:13.1480 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.1480 | TRACE | WebAPIClient.Program | Average speed: 117596,12 Kb/sec; 114,84Mb/sec
2021-07-14 16:39:13.2385 | TRACE | WebAPIClient.Program | File received for the 72 time
2021-07-14 16:39:13.2385 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.2385 | TRACE | WebAPIClient.Program | Average speed: 117068,31 Kb/sec; 114,32Mb/sec
2021-07-14 16:39:13.3290 | TRACE | WebAPIClient.Program | File received for the 73 time
2021-07-14 16:39:13.3290 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.3290 | TRACE | WebAPIClient.Program | Average speed: 116698,35 Kb/sec; 113,96Mb/sec
2021-07-14 16:39:13.4334 | TRACE | WebAPIClient.Program | File received for the 74 time
2021-07-14 16:39:13.4334 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.10
2021-07-14 16:39:13.4334 | TRACE | WebAPIClient.Program | Average speed: 101674,05 Kb/sec; 99,29Mb/sec
2021-07-14 16:39:13.5222 | TRACE | WebAPIClient.Program | File received for the 75 time
2021-07-14 16:39:13.5222 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.5222 | TRACE | WebAPIClient.Program | Average speed: 118977,91 Kb/sec; 116,19Mb/sec
2021-07-14 16:39:13.6127 | TRACE | WebAPIClient.Program | File received for the 76 time
2021-07-14 16:39:13.6127 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.6127 | TRACE | WebAPIClient.Program | Average speed: 115753,96 Kb/sec; 113,04Mb/sec
2021-07-14 16:39:13.7033 | TRACE | WebAPIClient.Program | File received for the 77 time
2021-07-14 16:39:13.7033 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.7033 | TRACE | WebAPIClient.Program | Average speed: 117687,49 Kb/sec; 114,93Mb/sec
2021-07-14 16:39:13.7955 | TRACE | WebAPIClient.Program | File received for the 78 time
2021-07-14 16:39:13.7955 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.7955 | TRACE | WebAPIClient.Program | Average speed: 117084,1 Kb/sec; 114,34Mb/sec
2021-07-14 16:39:13.8870 | TRACE | WebAPIClient.Program | File received for the 79 time
2021-07-14 16:39:13.8870 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.8870 | TRACE | WebAPIClient.Program | Average speed: 114844,81 Kb/sec; 112,15Mb/sec
2021-07-14 16:39:13.9770 | TRACE | WebAPIClient.Program | File received for the 80 time
2021-07-14 16:39:13.9770 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:13.9795 | TRACE | WebAPIClient.Program | Average speed: 117430,52 Kb/sec; 114,68Mb/sec
2021-07-14 16:39:14.0710 | TRACE | WebAPIClient.Program | File received for the 81 time
2021-07-14 16:39:14.0710 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:14.0732 | TRACE | WebAPIClient.Program | Average speed: 112818,07 Kb/sec; 110,17Mb/sec
2021-07-14 16:39:14.1615 | TRACE | WebAPIClient.Program | File received for the 82 time
2021-07-14 16:39:14.1615 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:14.1615 | TRACE | WebAPIClient.Program | Average speed: 116584,48 Kb/sec; 113,85Mb/sec
2021-07-14 16:39:14.2524 | TRACE | WebAPIClient.Program | File received for the 83 time
2021-07-14 16:39:14.2524 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:14.2524 | TRACE | WebAPIClient.Program | Average speed: 116209,79 Kb/sec; 113,49Mb/sec
2021-07-14 16:39:14.3530 | TRACE | WebAPIClient.Program | File received for the 84 time
2021-07-14 16:39:14.3535 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:14.3535 | TRACE | WebAPIClient.Program | Average speed: 104738,5 Kb/sec; 102,28Mb/sec
2021-07-14 16:39:14.4459 | TRACE | WebAPIClient.Program | File received for the 85 time
2021-07-14 16:39:14.4459 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:14.4485 | TRACE | WebAPIClient.Program | Average speed: 117378,83 Kb/sec; 114,63Mb/sec
2021-07-14 16:39:14.5370 | TRACE | WebAPIClient.Program | File received for the 86 time
2021-07-14 16:39:14.5370 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:14.5370 | TRACE | WebAPIClient.Program | Average speed: 116411,52 Kb/sec; 113,68Mb/sec
2021-07-14 16:39:14.6308 | TRACE | WebAPIClient.Program | File received for the 87 time
2021-07-14 16:39:14.6308 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:14.6308 | TRACE | WebAPIClient.Program | Average speed: 112602,46 Kb/sec; 109,96Mb/sec
2021-07-14 16:39:14.7257 | TRACE | WebAPIClient.Program | File received for the 88 time
2021-07-14 16:39:14.7257 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:14.7280 | TRACE | WebAPIClient.Program | Average speed: 111100,62 Kb/sec; 108,5Mb/sec
2021-07-14 16:39:14.8159 | TRACE | WebAPIClient.Program | File received for the 89 time
2021-07-14 16:39:14.8159 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:14.8159 | TRACE | WebAPIClient.Program | Average speed: 117716,71 Kb/sec; 114,96Mb/sec
2021-07-14 16:39:14.9075 | TRACE | WebAPIClient.Program | File received for the 90 time
2021-07-14 16:39:14.9075 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:14.9075 | TRACE | WebAPIClient.Program | Average speed: 115309,47 Kb/sec; 112,61Mb/sec
2021-07-14 16:39:15.0022 | TRACE | WebAPIClient.Program | File received for the 91 time
2021-07-14 16:39:15.0022 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:15.0022 | TRACE | WebAPIClient.Program | Average speed: 111752,45 Kb/sec; 109,13Mb/sec
2021-07-14 16:39:15.0897 | TRACE | WebAPIClient.Program | File received for the 92 time
2021-07-14 16:39:15.0897 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
